CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),cost_1,cost_2,cost_3,cost_4,Assigned_cluster
1,Male,19,15,39,132,70,97,110,Cluster_2
2,Male,21,15,81,172,114,137,150,Cluster_2
3,Female,20,16,6,97,37,62,75,Cluster_2
4,Female,23,16,77,165,111,130,143,Cluster_2
5,Female,31,17,40,123,81,84,97,Cluster_2
6,Female,22,17,76,164,108,129,142,Cluster_2
7,Female,35,18,6,92,50,51,64,Cluster_2
8,Female,23,18,94,180,126,145,158,Cluster_2
9,Male,64,19,3,117,75,76,89,Cluster_2
10,Female,30,19,72,152,110,115,128,Cluster_2
11,Male,67,19,14,131,89,90,103,Cluster_2
12,Female,35,19,99,184,142,143,156,Cluster_2
13,Female,58,20,15,122,80,81,94,Cluster_2
14,Female,24,20,77,160,108,125,138,Cluster_2
15,Male,37,20,13,99,57,58,71,Cluster_2
16,Male,22,20,79,164,108,129,142,Cluster_2
17,Female,35,21,35,118,76,77,90,Cluster_2
18,Male,20,21,66,152,92,117,130,Cluster_2
19,Male,52,23,29,127,85,86,99,Cluster_2
20,Female,35,23,98,179,137,138,151,Cluster_2
21,Male,35,24,35,115,73,74,87,Cluster_2
22,Male,25,24,73,151,101,116,129,Cluster_2
23,Female,46,25,5,95,53,54,67,Cluster_2
24,Male,31,25,73,148,106,109,122,Cluster_2
25,Female,54,28,14,109,67,68,81,Cluster_2
26,Male,29,28,82,152,110,117,130,Cluster_2
27,Female,45,28,32,118,76,77,90,Cluster_2
28,Male,35,28,61,137,95,96,109,Cluster_2
29,Female,40,29,31,111,69,70,83,Cluster_2
30,Female,23,29,87,162,108,127,140,Cluster_2
31,Male,60,30,4,103,61,62,75,Cluster_2
32,Female,21,30,73,149,91,114,127,Cluster_2
33,Male,53,33,4,93,51,52,65,Cluster_2
34,Male,18,33,92,168,106,133,146,Cluster_2
35,Female,49,33,14,99,57,58,71,Cluster_2
36,Female,21,33,81,154,96,119,132,Cluster_2
37,Female,42,34,17,94,52,53,66,Cluster_2
38,Female,30,34,73,138,96,101,114,Cluster_2
39,Female,36,37,26,94,52,53,66,Cluster_2
40,Female,20,37,75,145,85,110,123,Cluster_2
41,Female,65,38,35,131,89,90,103,Cluster_2
42,Male,24,38,92,157,105,122,135,Cluster_2
43,Male,48,39,36,114,72,73,86,Cluster_2
44,Female,31,39,61,122,80,83,96,Cluster_2
45,Female,49,39,28,107,65,66,79,Cluster_2
46,Female,24,39,65,129,77,94,107,Cluster_2
47,Female,50,40,55,134,92,93,106,Cluster_2
48,Female,27,40,47,107,61,72,85,Cluster_2
49,Female,29,40,42,100,58,65,78,Cluster_2
50,Female,31,40,42,102,60,63,76,Cluster_2
51,Female,49,42,52,128,86,87,100,Cluster_2
52,Male,33,42,60,120,78,79,92,Cluster_2
53,Female,31,43,54,111,69,72,85,Cluster_2
54,Male,59,43,60,145,103,104,117,Cluster_2
55,Female,50,43,45,121,79,80,93,Cluster_2
56,Male,47,43,41,114,72,73,86,Cluster_2
57,Female,51,44,50,126,84,85,98,Cluster_2
58,Male,69,44,46,140,98,99,112,Cluster_2
59,Female,27,46,51,105,59,70,83,Cluster_2
60,Male,53,46,46,122,80,81,94,Cluster_2
61,Male,70,46,56,149,107,108,121,Cluster_2
62,Male,19,46,55,117,55,82,95,Cluster_2
63,Female,67,47,52,141,101,100,113,Cluster_3
64,Female,54,47,59,135,95,94,107,Cluster_3
65,Male,63,48,51,135,97,94,107,Cluster_3
66,Male,18,48,59,120,62,85,98,Cluster_2
67,Female,43,48,50,114,76,73,86,Cluster_3
68,Female,68,48,48,137,99,96,109,Cluster_3
69,Male,19,48,59,119,61,84,97,Cluster_2
70,Female,32,48,47,100,62,59,72,Cluster_3
71,Male,70,49,55,145,109,104,117,Cluster_3
72,Female,47,49,42,109,73,68,81,Cluster_3
73,Female,60,50,49,128,94,87,100,Cluster_3
75,Male,59,54,47,121,95,80,93,Cluster_3
76,Male,26,54,54,101,69,66,79,Cluster_3
77,Female,45,54,53,113,87,72,85,Cluster_3
78,Male,40,54,48,103,77,62,75,Cluster_3
79,Female,23,54,52,102,64,67,80,Cluster_2
80,Female,49,54,42,106,80,65,78,Cluster_3
81,Male,57,54,51,123,97,82,95,Cluster_3
82,Male,38,54,55,108,82,67,80,Cluster_3
83,Male,67,54,41,123,97,82,95,Cluster_3
84,Female,46,54,44,105,79,64,77,Cluster_3
85,Female,21,54,57,109,67,74,87,Cluster_2
86,Male,48,54,46,109,83,68,81,Cluster_3
87,Female,55,57,58,125,105,84,97,Cluster_3
88,Female,22,57,55,103,69,68,81,Cluster_3
89,Female,34,58,60,105,87,64,77,Cluster_3
90,Female,50,58,46,107,89,66,79,Cluster_3
91,Female,68,59,55,133,117,92,105,Cluster_3
92,Male,18,59,41,91,55,56,69,Cluster_2
93,Male,48,60,49,106,92,65,78,Cluster_3
94,Female,40,60,40,89,75,48,61,Cluster_3
95,Female,32,60,42,83,69,42,55,Cluster_3
96,Male,24,60,52,95,71,60,73,Cluster_3
97,Female,47,60,47,103,89,62,75,Cluster_3
98,Female,27,60,50,90,72,55,68,Cluster_3
99,Male,48,61,42,98,86,59,70,Cluster_3
100,Male,20,61,49,95,65,62,73,Cluster_3
101,Female,23,62,41,83,61,52,61,Cluster_3
102,Female,49,62,48,104,94,67,76,Cluster_3
103,Male,67,62,59,133,123,96,105,Cluster_3
104,Male,26,62,55,94,78,63,72,Cluster_3
105,Male,49,62,56,112,102,75,84,Cluster_3
